n.address,n.mf
"""0x8271e233466ff21c38b30b3079554e33f8931fdb""",1.0682468970373171
"""0x7d47ee7f8f4a7dafa26006c6b7d390bcd16f3cfb""",1.0
"""0xbcc492df37bd4ec651d46d72230e340c9ec1950c""",1.0
"""0x37c4fd45135a3c4eb113d5d61509577d51aa13b5""",1.0
"""0x3daf3ddb8d4a7349e2de7f38738e21218b05c0a3""",1.0
"""0x02bfe1c6a7d246e84d026086413923e503264901""",1.0
"""0x54cd85c9a1f15572295db7df2a361b74ebf93fd8""",1.0
"""0xbe66171728f29d45e8c9ad9c280f457cfc776ac7""",1.0
"""0x3910eac5bb3994e5669f7281da3253d571d12005""",1.0
"""0x73c543df271b0cd26737cec8b9e99425631d7a36""",1.0
"""0x6a749fcf882832c86523ce800b695fd271b9ce18""",1.0
"""0x87f8dc0095d4d02612df60d445af17776c82b969""",1.0
"""0x4b8d9b2f01048fa9b41c0679f83ac39bcfe8de4c""",1.0
"""0x0c7e03cbcb47c3d8b7d38291413dc8307e038d81""",1.0
"""0xd34abe687acf249d344da10316e7231c56e6ad2c""",1.0
"""0x3c1ad50b063279edb6df1b175922d191f29c1ac0""",1.0
"""0xf6a730b6a314f2392844bc7bf6ca0c378cee9d0b""",1.0
"""0xb169119b03fbc282afabb89f3fc898d824eba9af""",1.0
"""0xa0d9d8065ecf7e20585a1b6294d5d74b6d3dc61a""",1.0
"""0x3a29e208600227e81a13042d9694438251d6f23a""",1.0
"""0x2b1ec4912ee1c2a99d2fbb6e91847e3186ee6ab4""",1.0
"""0xd78cc2b4f587a94f23e2f1de0c35045717ac077c""",1.0
"""0xff5ada0f9c68057f46a9da5de0ac2fb62922f907""",1.0
"""0xc7ce2b993891a0b5cb55b8470d0a27f6fc1c0287""",1.0
"""0x7ce1b91f5fde86951cd4641ea29d53f65cfde96c""",1.0
"""0xc6ae19e0bbb0199f76cba732dbfaec03fa7b9c7e""",1.0
"""0xd315445c9578686ece720b560c63cb177c70efa3""",1.0
"""0x92f4b0cb018e20e5035e4fc85076099a66e7e22a""",1.0
"""0x9a2fabb4b1e999ab3fee1a3dab3a905ea269afd6""",1.0
"""0x334ef3bf41c1b6b032965a626d5c39ab04fc867d""",1.0
"""0xfed6836ae99b834e25f898c748bd36fb31c0e953""",1.0
"""0xc04f4e239ba93270abf2f9542e607a7a5c8a82ba""",1.0
"""0x359abdcc15c392dea9213acf0c0eb1ae718dbf82""",1.0
"""0x19dc26265a4b73b9187f785eefe3beba6e4228d1""",1.0
"""0x9b29a235764b40956bd18606eec8e53b8425ed75""",1.0
"""0xeb75356a83aff838a9d5fa57da81e9ebcd0ea3ae""",1.0
"""0x5bfb736d353ffc2ec3f2c982aae3781549971354""",1.0
"""0x5525457cc5e86be6d3d6b00a44bdf6d19146d1be""",1.0
"""0x31be9065070b353a36eb83f4ed55ef71c3847020""",1.0
"""0xd4787da40c18aea7207f2b319b683fb6f4a7560c""",1.0
"""0x0b80faf286c9aa49ca06cc72ef338b2e03a3febe""",1.0
"""0xbbb1199528a0f5dab92a3fa5ba424c4f0e1a6807""",1.0
"""0x5e667ce0fea3f405a097fcd9dc1d1da6375e7eea""",1.0
"""0xf7d79eb624e29e7eddb6e196b514e4f7890fb43e""",1.0
"""0xe7bc0848e35b0c63a149dd0cdf9e784895e6d1a1""",1.0
"""0xf49c4794e46a4fa3c821c70eb71f9310b1a977f6""",1.0
"""0x308fdedb9dcdf0270dd44aac4a7b2c80b5e09210""",1.0
"""0xfe14e0b056223ee2747c6813bca05e3af03b07b0""",1.0
"""0xbb1332e692e701bfc0e3c19ffd4dd619c599ea2a""",1.0
"""0xec260938b3852ec841deb808a224056415992f2b""",1.0
"""0x2dc3fd6ae182cb66d9214d22f38ff8f36a9b9819""",1.0
"""0xc0916003021610aac2ab06faf17867e1cc1ace18""",1.0
"""0xb08d9950ff05e7a7e1c9130ed316edc9cd300bee""",1.0
"""0xdf069cf635d45c47662434e50a0cac3173a2394c""",1.0
"""0xcc825b8ada0abb1badea5aee052d357f580eed78""",1.0
"""0x7667e4190d9daa899570ae15b068eae74dbba6ba""",1.0
"""0xd78c30d49116eec513417babde00810f718d6f43""",1.0
"""0x208865db6bf977fcd959167801e49bd814a44460""",1.0
"""0x0b2a0024d626bb01ffac3e46eccca588583d9631""",1.0
"""0x5975572a86b97f5d0bf17729c1491f848f210334""",1.0
"""0x9c2b5e0cd01ba9c2b2e5cbd1c689c7adae38a4b9""",1.0
