n.address,n.mf
"""0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936""",100000
"""0x42d49086d884202b8f5c52a5bfe96eb3893354bb""",9.93
"""0x1d7c61e7f306f848e62df8bb595dc2adeee697f3""",7.0
"""0xf9ebd8d480690ac7d570afcc0cc7b097423bb19a""",5.877800000000001
"""0x00a78b13233caf7750483ada217d8c16ecf4e7bf""",5.0
"""0x327f9227b74a29e20a8eb1c8dd3999b32caf900c""",5.0
"""0xb632089b3f34ae3f0b1c2038c381ff1a6ec04ab4""",4.9735
"""0x7ab423f63b6d79d185ccc465d18d81f27f594bc0""",4.9225
"""0x31108494f9b52a6f75e74ed54888706b23de9f85""",4.8875
"""0x49eb86771084622cd7f2daf97526e6191a38294b""",3.97
"""0x8e1cca6ea6b4a6dae69b293cadcff26122c81539""",3.9022612
"""0x7c47705f3ed77e53edfdcf6d6934adb3e97a3d49""",2.9519
"""0x9ef86a4ebbf2e595228f924782ca6c325b107f18""",2.9519
"""0xae5731629922672a15ab2a79c66baae56aeeb160""",2.9519
"""0x90203dab360ccf254d5b127202f2d110b21f616d""",2.932332
"""0x89a888eecfe216fd597821f56df8a349705efba7""",2.9320000000000004
"""0xd4e64db18d32c81158906c9b108423a748b8182a""",2.9320000000000004
"""0xb7ddaba243659e42d2813fcb9f30aca983478b5c""",2.9255
"""0xe4be858a85844e6eb10dc5d63236d97722f1847c""",2.9225000000000003
"""0xe80a07c3765c923175a29e324ca9509c4e21080b""",2.9195
"""0x73c98d06125acdf9471b66f95b325c2b6decf0db""",2.0
"""0x353bd3001602ed22000b7ebbeb27aae6ffd5be2a""",2.0
"""0x23ebdb721b09517c6c2e3c3cab4b476596603d0e""",2.0
"""0x9125b353b31d6528bb9e930ba61649340e47c095""",2.0
"""0xed33dc0bdac8eeede3f060a938a7d82b4fbf917b""",2.0
"""0xfdc5df33ba9e69583daa83dcb857bbb8a4e4eb19""",2.0
"""0x62bf3a75aa51ea7edfada44fdeeb43067be59c50""",2.0
"""0xa49e0fe87ce0835fac09c3a883e103a658bc9efb""",2.0
"""0xd45f2c2466beab21e217e9dfaaf1ede0efa6b243""",2.0
"""0x9d54072c64c2271a9fdd25e45a20400ce4a47207""",2.0
"""0xf45643d9a87e70e8019bb43eee05d8fa6799ebe5""",2.0
"""0xd3a8a759330d9a9d1e4d1f3e484d567b8f020e01""",1.9694500000000001
"""0x9859c1d81d3e652d3b6f26cd02875e840a55ac61""",1.9650500000000002
"""0xa270697a7e1cae9f5a8584adc36f7de94702644c""",1.959
"""0xed3fcdfa52464a97c60668e61a7739a54f099905""",1.959
"""0xfd275dbf37ad0b6f40e6b51c22716994532551d5""",1.959
"""0x83eedc77dd4f8879aa4cc50678df30a0d2f8e171""",1.9580000000000002
"""0x42afcd485933726f602de5b0aa4da45b17a61013""",1.9580000000000002
"""0xbfd34e404b4da0bbf72d85cda1c466538f9ef705""",1.9580000000000002
"""0x95221ae6a2fe9800899b0f387800e8c02d84e529""",1.9580000000000002
"""0xd06f09bb3dc84cdd44f0f3da16b127c96f64ada8""",1.9555000000000002
"""0xf0a58c186a1c1fd3234eee57c927315aa35f1ee1""",1.9555000000000002
"""0xa9bc4c2655378335d415e0430bf8d15bb0628242""",1.948
"""0x779d5f9e9dd48e0504b6dfef7317b0b9cb491fe3""",1.948
"""0x1a0e2a24fb52ef82fb3e0ff1313aea7b9bb1f5cf""",1.948
"""0xf2872e8265b88f997b0d889db1a12568e579f295""",1.948
"""0x0fb6a0ad66cd1c1f0f5d010582ae1db85f52ecb0""",1.947
"""0x247d9395c53a9bdaf17d0e30eb8b5eb6874ec167""",1.947
"""0x010eba00b346bd6b0fc70b280a2e008434fdc14d""",1.947
"""0xcea9980ea20b1f328174eacb01befb12b9b00506""",1.947
"""0x3486393137da3237923f60cf629d6b56922f2242""",1.947
"""0x4e06ec045a1e0d66ff11321b6584ef8513eb2b12""",1.947
"""0xc3cfd6b28dd5f4b7755dd4dcd2fa703fd601d831""",1.947
"""0x0fb6312becc2909f13178e6285c84098233bda50""",1.9435000000000002
"""0xc4fa3dc6c21a0d8468f119470294c145ba7b55e9""",1.939
"""0xae6f4030df222ec8dcb9e7ba0b5343002f9f013f""",1.9380000000000002
"""0x40737c160a6c470df279e686678a9634a29e656f""",1.9173623020000001
"""0x19baed2984bdf562ce84239d9d46430cfc9f8dc9""",1.9173623020000001
"""0x69636882a18f8797748bcfe700a0402632fd0464""",1.8942814740000002
"""0xbc328af2f73542a75e63d4be83b63ef240e39c54""",1.875
"""0x394c0cbdf12f687d33f53e898d881b73870bb982""",1.7695
"""0xf553a10c7318c8636080509d42d758a95bbe18d9""",1.7695
"""0xa6aec74511f184d24d94260ac890f243ba2b5a5b""",1.5502500000000001
"""0x16a9961f4ed549246a0de1fdeb28b06cdd3355c0""",1.5502500000000001
"""0x10e9ce2e6e64b7cf888e67699cd7fb1ea9a73c1b""",1.5502500000000001
"""0x6fedc90252838f01912541d40286b00e1ab388e9""",1.5502500000000001
"""0x5d0b243a5501effa8aea9e00885d9878cb4fc9c6""",1.5502500000000001
"""0xdbb79010b60cdb27491002054f0793c499a6c93c""",1.5
"""0x785cde8fa5de656d17d7f52508ec7c8f25966d97""",1.4100000000000001
"""0x729f9a95c3b2a8920842b2136cca91055111b168""",1.37
"""0xd57848739770eb1948c149f78d4f0f163cbdb637""",1.3683545400000001
"""0x2a73df50d254a37280310f1b5204d843a8c0ce94""",1.30774553
"""0x3d93e685e625682013c73a67188c06d6c5577fc8""",1.199860627
"""0x584c94dfb8ebed0eb01063f4c0d569fe04e9c479""",1.0270000000000001
"""0xe5dcc182d0cf9c26fbc66187258876a1fbd3d40e""",1.0
"""0x0821560d2de62a2fb49f382caad7c4916b1f94aa""",1.0
"""0x21db2ecccf284f34e8d10288ff9c6a744278a4ce""",1.0
"""0x0992a5bfd2f2ee20c6be2348dbadcda18690a87a""",1.0
"""0x3c59f65c27d1cf9ae857be5ecd5623f3f5ad7bba""",1.0
"""0xde61987c844bbbfd3267a44bed7c2a0ba9793a34""",1.0
"""0x27004ead43d4f220a3b8654a96af42e1822588a7""",1.0
"""0xd3bb7d433e6b0ba947369fa513af37e8af8b3bd3""",1.0
"""0xdeedea22ac9fc4a68d4a64df78c9c7854c004197""",1.0
"""0x82c0acfd7c6d76397e69fcc1e4c9ab673d3947e4""",1.0
"""0xbcb77ac55027677b3118848b158ad731dd811e65""",1.0
"""0xce8bc9a4f9dffe21e03dec79d94a8555859e756d""",1.0
"""0x5553a5004d28cdf1642a6281a9121ffbea7aa4b8""",1.0
"""0x52d2852cf7a8e4ec7937127d3cc934ad219063f6""",1.0
"""0xad65e95fd14fc39044183530561d023e6ff2b4f0""",0.9900752288251697
"""0x493af1b7fa3a6fe7a8e16537666e1e8e7546def1""",0.9860000000000001
"""0xfa8b1ac6879da8677df13102f8711b5d3cebe1c7""",0.9860000000000001
"""0x61b06495e73280ffc4245b9cd81e939ad3670cc2""",0.9860000000000001
"""0x6c4e3217ea3f955a58b6f7bc8fddb37df05579bd""",0.9860000000000001
"""0xa57425eb808327def4312d5419e0282569378b33""",0.9860000000000001
"""0x391d6cdc80d91c83eccc1f14175ade5f15d1faf9""",0.9858500000000001
"""0xcdfd3412ff019c180a61aa50f1eb46293ca4da1f""",0.9855
"""0x6db07c59bf4d48d6d2d104a7715fb73bf6b9decf""",0.9855
"""0x559d647447abd294e2ee76849dd68239d7d1b983""",0.9855
"""0x5a1729f719b590945bd0d4b0bb6a8fd78f722b51""",0.9855
"""0x85e1a80b32cfb11ef7eac7a310cdf5b4920ab6c3""",0.9855
"""0xca9b2c3632ae9d1dffdb5abd475089405f642134""",0.9855
"""0xdf03be23fd620951b6ea45aa55d8ab3a2d3106b0""",0.9855
"""0xbf2b6365e8ad18bd64ebc6572e59ecc39275a7bb""",0.9855
"""0x1f4a4d1e56925e6534333b778d6ecc3e8553466a""",0.9855
"""0xcfa3f01a4ba100eb92787c2e23d8727db972c8d2""",0.9855
"""0x67b62a46c60f0ea61b24ec1d9feb3c1a7930c2e9""",0.9855
"""0x464a5ae00256a53e0674b6a40f1450868ecfb6b7""",0.9855
"""0xfff7cedde220b72d95d5f7f588ff8c4360a24c17""",0.9855
"""0xda0ac7eb401093366c7d4801fae731388c133a50""",0.9855
"""0xc7f99a400f8eae8a9ccbf1a7d617ffb1ef07a57a""",0.9855
"""0x05e2380cbb0a3f1cb539568bd66ef5cf6849bb25""",0.9855
"""0xabd40b1d75c786b0eccb30852ed57e9f0e72f38e""",0.9855
"""0x205a9ad76b9700e545943f18939e6e02cc3acfe8""",0.9855
"""0x18060bb843e6c49d72bcd05d0458e63a484dff44""",0.9855
"""0x99f9b7364cdd99dc3a6e594b95705621f8c8968b""",0.9855
"""0xee06a52c6618323f734d2985351c6c95fdf741ba""",0.9855
"""0x30ea85fcf8c2cf82b92d0a814014b6713e393eb9""",0.9855
"""0x17a1cc4f2ceda4611be20659fba0861ad8113c68""",0.9855
"""0x9f2702f5af4140b3797cd4fc0a0d7a1c8e61920f""",0.9855
"""0x357c9f0ae444b04d9bdfaa77ac16542034b966df""",0.9855
"""0xef4fc20bb6f0aec2503a632c2dba55db327ff457""",0.9855
"""0x2d11a33a362f5f742414823f2aaf1148064829da""",0.9855
"""0xef5fe71337f1f9a5a60f288cdb632ceceb5940b1""",0.9855
"""0x90008d7727173a6d6656d0009b4928ab3a0c3128""",0.9855
"""0x069161e2a12885e11b2aeb933f8f071ee830aaf6""",0.9855
"""0x4d19c49eafa117192b60eae5bb138dff85eeb755""",0.9855
"""0xcab30a9b4b0ed1f75a56f39d5275ad639ed0f852""",0.9855
"""0x469a195f5da5c9eaa93c01d4323e2723e060338b""",0.9855
"""0xf3419f36a6938783b19003efe87107fe8c04eb4d""",0.9855
"""0x2f93da697a8a6d7e6fe0d403f56e6390dc7871fd""",0.9855
"""0x0ec08484799c0d0c9b341cb90db30ed7b6d54c3d""",0.9855
"""0x526e3b657da15f8b0c2e370e4432889cc3bd7e70""",0.9855
